Noise (%),n,Success rate (%),Boundary-hit rate (%),SSE_clean median (Ω²),SSE_clean 95% (Ω²),Parameter,Mean,Std,CV (%),Median,P5,P95
0.0,6,0.0,0.0,587.2405222021608,855.680255635369,R_s,1.0653226708730472,0.34823419958020324,32.688143142098,1.0443498253066457,0.6662036906257187,1.5077699303695544
0.0,6,0.0,0.0,587.2405222021608,855.680255635369,L,1.9502740555736761e-07,4.2292342673845715e-08,21.685333173037243,1.9061830116407997e-07,1.4415806659480195e-07,2.457029075348456e-07
0.0,6,0.0,0.0,587.2405222021608,855.680255635369,R_ct,17.484893543687225,4.38558970767717,25.082164193447724,16.328133709513473,12.54710641784088,22.74494319294439
0.0,6,0.0,0.0,587.2405222021608,855.680255635369,Q_1,0.003277736201420463,0.0007979754826566169,24.34532352880627,0.0033551496948174223,0.002264644832127746,0.0041348558494529765
0.0,6,0.0,0.0,587.2405222021608,855.680255635369,α_1,0.8228247530675837,0.030891287716109463,3.754297327704745,0.8145010080083401,0.7873621786876046,0.8619969501595981
0.0,6,0.0,0.0,587.2405222021608,855.680255635369,Q_2,0.0021105464478113328,2.77152397324282e-05,1.3131783837863082,0.0021159888889602796,0.00207185066040328,0.0021385249744745255
0.0,6,0.0,0.0,587.2405222021608,855.680255635369,α_2,0.9076793414103964,0.016150574705377094,1.7793260206056407,0.9072872235920407,0.8885265247912373,0.9254164283405623
0.5,6,0.0,0.0,912.6724786949999,2133.27276883549,R_s,1.132853239090082,0.43969985889051416,38.81348825410828,1.1595396145935521,0.6449373891829528,1.686928857564725
0.5,6,0.0,0.0,912.6724786949999,2133.27276883549,L,1.9891418050846834e-07,3.085325956540335e-08,15.510839642772396,1.9782478702769015e-07,1.6521058956236407e-07,2.3391804111727746e-07
0.5,6,0.0,0.0,912.6724786949999,2133.27276883549,R_ct,19.526829709136575,5.60051445471355,28.681125088590687,19.734757501492297,12.388033619060863,26.256583135261618
0.5,6,0.0,0.0,912.6724786949999,2133.27276883549,Q_1,0.003469234575376915,0.0009674508431772693,27.886579075505747,0.0031399711026351388,0.002549415838340689,0.004688853047385061
0.5,6,0.0,0.0,912.6724786949999,2133.27276883549,α_1,0.8247025020467073,0.050653110367258995,6.1419857756646214,0.8038352984026141,0.7784343704444335,0.8963778675281888
0.5,6,0.0,0.0,912.6724786949999,2133.27276883549,Q_2,0.002113325517921531,6.553988098977025e-05,3.101267667189726,0.002107022521736402,0.0020292379963028065,0.002187902655879419
0.5,6,0.0,0.0,912.6724786949999,2133.27276883549,α_2,0.9153579215239408,0.036891755171383295,4.030309270712791,0.9158714336972821,0.8708765147944739,0.9611682519276339
1.0,6,0.0,0.0,943.6327695933317,1901.9516465802806,R_s,1.2044119664426645,0.33355388070796904,27.694334663009823,1.072552821710064,0.8701362049125755,1.6349464262580606
1.0,6,0.0,0.0,943.6327695933317,1901.9516465802806,L,2.1272996847038248e-07,6.468799400439497e-08,30.40850072489961,1.9793504570699628e-07,1.4813696230498718e-07,2.926524176924519e-07
1.0,6,0.0,0.0,943.6327695933317,1901.9516465802806,R_ct,19.481033932762653,3.4196062559101974,17.553515217481348,20.410481047390633,14.84239105306138,22.810598046606092
1.0,6,0.0,0.0,943.6327695933317,1901.9516465802806,Q_1,0.0034668589944905483,0.0012242544671770283,35.31307356666611,0.003025041554635507,0.0024947650336121733,0.005231313379867409
1.0,6,0.0,0.0,943.6327695933317,1901.9516465802806,α_1,0.823010855924454,0.055825778683547746,6.783115712470276,0.8330575269961291,0.7439180071109904,0.8776364034840689
1.0,6,0.0,0.0,943.6327695933317,1901.9516465802806,Q_2,0.0021252406627962025,6.453251951513261e-05,3.0364805569937885,0.0021428341798418377,0.0020343664865282735,0.0021875976179164935
1.0,6,0.0,0.0,943.6327695933317,1901.9516465802806,α_2,0.9138892361736759,0.020382247148306512,2.2302754361835007,0.9163100751468787,0.8890031758811231,0.9354614543817463
2.0,6,0.0,0.0,1028.2676023813024,3272.1240058707217,R_s,0.8798612604932236,0.16322196612074766,18.55087539929311,0.9200288013477478,0.6465231487866935,1.0396426032222796
2.0,6,0.0,0.0,1028.2676023813024,3272.1240058707217,L,1.7790843359927638e-07,4.313721973436032e-08,24.24686613312736,1.6039492101317992e-07,1.431214156482952e-07,2.409528659329898e-07
2.0,6,0.0,0.0,1028.2676023813024,3272.1240058707217,R_ct,22.263069502626152,12.60420076484619,56.614838144216364,17.431313409361167,12.367815658134802,41.05044508085533
2.0,6,0.0,0.0,1028.2676023813024,3272.1240058707217,Q_1,0.0032387601631940735,0.0010182761097974342,31.440306119895205,0.0032246936434450384,0.0020277439015428927,0.004311373869363417
2.0,6,0.0,0.0,1028.2676023813024,3272.1240058707217,α_1,0.8597815661163756,0.04163764728823183,4.842816935039518,0.8744568275509369,0.8048452177386829,0.9006856924624347
2.0,6,0.0,0.0,1028.2676023813024,3272.1240058707217,Q_2,0.0021577278664320185,7.696131665184961e-05,3.566775859418802,0.0021523791273939156,0.0020659341939005555,0.0022539295398567505
2.0,6,0.0,0.0,1028.2676023813024,3272.1240058707217,α_2,0.907913205433022,0.03205741485436015,3.530889810008945,0.9078106405914612,0.8694410234527928,0.9478031996247821
3.0,6,0.0,0.0,757.2646670204113,1993.6951422356617,R_s,1.0149217506835868,0.33939550489264125,33.44055880801116,0.9802580474321083,0.6099544506778152,1.4344195525276824
3.0,6,0.0,0.0,757.2646670204113,1993.6951422356617,L,2.1889842530343612e-07,5.604350166079994e-08,25.602514765975435,1.9171596037554916e-07,1.7288274004773775e-07,2.9642471366752755e-07
3.0,6,0.0,0.0,757.2646670204113,1993.6951422356617,R_ct,19.72254342002967,2.5591350146295504,12.975684525711646,18.744610249889405,17.481843917798656,23.040047130320318
3.0,6,0.0,0.0,757.2646670204113,1993.6951422356617,Q_1,0.0030885976777153532,0.000998235073175267,32.320009834160885,0.0030385569224019313,0.0020537534072477747,0.004437312813732223
3.0,6,0.0,0.0,757.2646670204113,1993.6951422356617,α_1,0.8152955844985036,0.019574736865587233,2.400937431499503,0.8185922572093198,0.7885289383100107,0.8348455882967265
3.0,6,0.0,0.0,757.2646670204113,1993.6951422356617,Q_2,0.002087927238251457,5.1375913600062026e-05,2.4606180071239927,0.002105681573159173,0.00201819040279191,0.0021386629945508158
3.0,6,0.0,0.0,757.2646670204113,1993.6951422356617,α_2,0.9272519743359218,0.021771843142840763,2.3479964179567583,0.9190133596114403,0.9088579030420849,0.9593788900686455
5.0,6,0.0,0.0,1045.0754250612395,2566.4981970079734,R_s,1.3677187666715047,0.5745124671076953,42.00516079090112,1.4937285065580364,0.6246820804747404,1.9489105804546019
5.0,6,0.0,0.0,1045.0754250612395,2566.4981970079734,L,1.8196619643535823e-07,3.285235921201794e-08,18.05410007769681,1.844066617129823e-07,1.406747058778014e-07,2.1631725119497476e-07
5.0,6,0.0,0.0,1045.0754250612395,2566.4981970079734,R_ct,20.557466706679534,3.1484924081816286,15.31556613032782,20.227600131387405,16.97187331985503,24.127891062711413
5.0,6,0.0,0.0,1045.0754250612395,2566.4981970079734,Q_1,0.0035636827601438262,0.0015199067184287571,42.649888352222895,0.003686219008030048,0.0017806868070843521,0.005168706796143305
5.0,6,0.0,0.0,1045.0754250612395,2566.4981970079734,α_1,0.8114925712637827,0.06822729910889762,8.407630768898283,0.8245902569096242,0.7152795072849176,0.8760765775314402
5.0,6,0.0,0.0,1045.0754250612395,2566.4981970079734,Q_2,0.002097996002514977,8.417361976699038e-05,4.012096289320241,0.002095295355238257,0.002002682150957475,0.0022101824835568298
5.0,6,0.0,0.0,1045.0754250612395,2566.4981970079734,α_2,0.9197359219463287,0.03436794218171983,3.7367184820824444,0.9227559482508715,0.8757854815486593,0.9613092593451791
8.0,6,0.0,0.0,788.0826151491112,2435.635041877489,R_s,1.4040530223670535,0.4880127656894603,34.75743137297859,1.3246718685439567,0.9166449727530069,2.0862385685398506
8.0,6,0.0,0.0,788.0826151491112,2435.635041877489,L,1.879914389718489e-07,2.5561887865318934e-08,13.597368053098814,1.832928156710176e-07,1.635803805760563e-07,2.1770935911911537e-07
8.0,6,0.0,0.0,788.0826151491112,2435.635041877489,R_ct,21.514875946725294,5.498884276321202,25.55852188010486,20.403387104748877,15.781524344993706,28.91781227337744
8.0,6,0.0,0.0,788.0826151491112,2435.635041877489,Q_1,0.0033768138897656125,0.0006306999808990202,18.677368711688093,0.0033148437766537427,0.002691369996280821,0.004119304801802211
8.0,6,0.0,0.0,788.0826151491112,2435.635041877489,α_1,0.8434722268407677,0.050291735748636844,5.962464933434141,0.8468387986268757,0.7842054773488584,0.8948548182896379
8.0,6,0.0,0.0,788.0826151491112,2435.635041877489,Q_2,0.0021387189980950857,8.093748268748166e-05,3.7843906917912573,0.0021442591752112937,0.0020317533104180032,0.0022302973986788105
8.0,6,0.0,0.0,788.0826151491112,2435.635041877489,α_2,0.9165907352804972,0.02321986687493689,2.5332862291948754,0.9099194546327478,0.8956540508395519,0.9502849736168761
